id,,fclt_name,ctprvn_nm,sgnr_nm,legaldong_cd,legaldong_cd_si,legaldong_cd_gu,legalemd_nm,adstrd_cd,adstrd_nm,rdnmaddr_cd,rdnm_addr,zip_cd,grid_cd,x_cd,y_cd,opmt_plce,fstvl_bgn_dt,fstvl_bgn_dt_year,fstvl_bgn_dt_month,fstvl_bgn_dt_day,fstvl_end_dt,fstvl_end_dt_year,fstvl_end_dt_month,fstvl_end_dt_day,fstvl_cn,mnnst,auspc_instt,supt_instt,telno,hmpg,rlt_inf,data_stdde,prvd_agnc_cd,prvd_agnc_nm,lst_updt_dt,data_orgn,FILE_NAME,base_ymd
KC488PO20N000001,,블루거제페스티벌,경상남도,거제시,4831010200,48,48310,장승포동,4831051000,장승포동,4.83E+11,경상남도 거제시 장승로 145 (장승포동),53322,마라118531,34.86717826,128.7233592,장승포 일원,20190731,2019,7,31,20190802,2019,8,2,우수 예술인 발굴과 지역 문화예술의 저변 확대를 위해 개최,거제문화예술회관,거제문화예술회관,,055-680-1000,,,20200213,5370000,경상남도 거제시,20200918,문화체육관광부,KC_488_WNTY_CLTFSTVL_2020,20201231
KC488PO20N000002,,바다로 세계로,경상남도,거제시,4831010900,48,48310,고현동,4831058000,고현동,4.83E+11,경상남도 거제시 계룡로 125 (고현동),53257,마라024545,34.88052883,128.6208143,거제시 일원,20190801,2019,8,1,20190804,2019,8,4,스포츠와 함께하는 여름축제로 매년 7월말에서 8월초순 경에 개최되는 한려수도 해양축제 “바다로 세계로”는 천혜의 관광자원과 문화예술공연을 함께 즐길 수 있는 전국 최대규모의 해양축제.,㈜엠비씨경남,경상남도 거제시 관광마케팅과,,055-639-4173,,,20200213,5370000,경상남도 거제시,20200918,문화체육관광부,KC_488_WNTY_CLTFSTVL_2020,20201231
KC488PO20N000015,,송년불꽃축제,경상남도,거제시,4831010200,48,48310,장승포동,4831051000,장승포동,4.83E+11,경상남도 거제시 장승로 138 (장승포동),53322,마라119530,34.8663093,128.7246401,장승포항 일원,20191231,2019,12,31,20191231,2019,12,31,송년불꽃축제는 한 해를 마무리하는 시점에서 관광객에게 볼거리를 제공하기 위한 연말연시 축제의 한마당. 축하공연과 더불어 화려하게 하늘을 수놓은 불꽃연출은 한 해를 보내는 아쉬움과 새해를 맞이하는 희망과 설레임으로 잊지못할 추억을 선사.,2019 송년불꽃축제 추진위원회,경상남도 거제시 문화예술과,,055-639-6751,,,20200213,5370000,경상남도 거제시,20200918,문화체육관광부,KC_488_WNTY_CLTFSTVL_2020,20201231
KC488PO20N000016,,춘천마임축제,강원도,춘천시,4211011200,42,42110,효자동,4211062000,효자1동,4.21E+11,강원도 춘천시 춘천로 112 (효자동),24336,라사200859,37.87309646,127.7278377,"중앙로로터리, 수변공원 등",20190526,2019,5,26,20190602,2019,6,2,"마임공연, 아水라장, 도깨비난장 등",(사)춘천마임축제,(사)춘천마임축제,춘천시,033-242-0585,http://www.mimefestival.com,,20190830,4180000,강원도 춘천시,20200918,문화체육관광부,KC_488_WNTY_CLTFSTVL_2020,20201231
KC488PO20N000017,,정월대보름축제,강원도,춘천시,4211012300,42,42110,퇴계동,4211066000,퇴계동,4.21E+11,강원도 춘천시 퇴계농공로 40 (퇴계동),24420,라사214833,37.849584,127.7436448,공지천야외무대,20190219,2019,2,19,20190302,2019,3,2,"길놀이, 취타대, 공연, 달집태우기 등",춘천문화원,춘천문화원,춘천시,033-254-5105,http://www.ccmunhwa.or.kr,,20190830,4180000,강원도 춘천시,20200918,문화체육관광부,KC_488_WNTY_CLTFSTVL_2020,20201231
KC488PO20N000019,,춘천가족음악축제,강원도,춘천시,4211012100,42,42110,온의동,4211067500,강남동,4.21E+11,강원도 춘천시 방송길 109 (온의동),24363,라사194853,37.86760654,127.7216035,공지천야외무대,20190921,2019,9,21,20190922,2019,9,22,가수공연,KBS춘천방송총국,KBS춘천방송총국,춘천시,033-254-0906,http://program.kbs.co.kr/1tv/local/allthatmusic/pc/,,20190830,4180000,강원도 춘천시,20200918,문화체육관광부,KC_488_WNTY_CLTFSTVL_2020,20201231
KC488PO20N000020,,김유정문학제,강원도,춘천시,4211033024,42,42110,신동면,4211033000,신동면,4.21E+11,강원도 춘천시 신동면 김유정로 1430-14,24412,라사191798,37.81831318,127.717698,김유정문학촌,20191001,2019,10,1,20191008,2019,10,8,"김유정문학상 시상식, 이야기대회, 민속놀이, 초청공연 등",(사)김유정기념사업회,(사)김유정기념사업회,춘천시,033-261-4650,http://www.kimyoujeong.or.kr,,20190830,4180000,강원도 춘천시,20200918,문화체육관광부,KC_488_WNTY_CLTFSTVL_2020,20201231
KC488PO20N000021,,옹진군 해넘이 및 제야의 밤,인천광역시,옹진군,2872031024,28,28720,북도면,,,2.87E+11,인천광역시 옹진군 북도면 장봉로 193,23112,다사003484,37.53014696,126.372272,옹암해변,20191231,2019,12,31,20200101,2020,1,1,공연 및 불꽃놀이 개최,옹진군,옹진군,,,,,20200113,3580000,인천광역시 옹진군,20200918,문화체육관광부,KC_488_WNTY_CLTFSTVL_2020,20201231
KC488PO20N000022,,국사봉 해맞이행사,인천광역시,옹진군,2872036022,28,28720,영흥면,2872036000,영흥면,2.87E+11,인천광역시 옹진군 영흥면 영흥북로231번길 3,23118,다사107195,37.27012096,126.4931449,영흥면 일원,20191231,2019,12,31,20200101,2020,1,1,지역주민화합과 관광객유치를 위한 해맞이행사,영흥면내6리 개발위원회,옹진군,,032-899-3814,http://www.ongjin.go.kr/township/index.asp?dept_idx=15,,20200113,3580000,인천광역시 옹진군,20200918,문화체육관광부,KC_488_WNTY_CLTFSTVL_2020,20201231
KC488PO20N000023,,거제학동몽돌해변 불꽃축제,경상남도,거제시,4831032028,48,48310,동부면,,,4.83E+11,경상남도 거제시 동부면 거제대로 946,53332,마라043428,34.77438469,128.6408652,학동흑진주몽돌해변,20191019,2019,10,19,20191019,2019,10,19,우수한 관광자원이 몽돌을 소재로 전국적으로 특색 있고/ 차별화된 축제를 통하여 우리 시의 인지도 향상 및 볼거리 등으로 체험형 문화관광 축제,경상남도 거제시 동부면,경상남도 거제시 동부면,,055-639-6511,,,20200213,5370000,경상남도 거제시,20200918,문화체육관광부,KC_488_WNTY_CLTFSTVL_2020,20201231
